iter	Accuracy	Logloss
344	0.837	0.3853606231
345	0.8369166667	0.3852686746
346	0.8369166667	0.3851888586
347	0.837125	0.3850670504
348	0.837125	0.3849392571
349	0.83725	0.384793911
350	0.837125	0.3847201466
351	0.8372916667	0.3845996346
352	0.837375	0.3844585
353	0.8374583333	0.3843550871
354	0.8374166667	0.3842437872
355	0.837375	0.3840818499
356	0.8372916667	0.3840072481
357	0.8373333333	0.3839117592
358	0.837375	0.3838321636
359	0.8374583333	0.3837592598
360	0.837625	0.3836891175
361	0.83775	0.3835626719
362	0.83775	0.3834627612
363	0.8377916667	0.3833786798
364	0.8377083333	0.3832784111
365	0.8379166667	0.3831102548
366	0.8378333333	0.3830062868
367	0.8377916667	0.3829172423
368	0.8377916667	0.3827576875
369	0.8377916667	0.3827090212
370	0.83775	0.3824931088
371	0.8379166667	0.3823827264
372	0.838	0.3822876725
373	0.838125	0.3821444331
374	0.838125	0.3820140913
375	0.8381666667	0.3819394775
376	0.838375	0.3818255092
377	0.8384583333	0.3816808567
378	0.8382916667	0.3815479765
379	0.8385	0.381427916
380	0.8385833333	0.3813469835
381	0.8385833333	0.381273834
382	0.838625	0.3812175968
383	0.8387083333	0.381135342
384	0.8389166667	0.3810416376
385	0.8389583333	0.3809545332
386	0.839	0.3808975965
387	0.839	0.3808332791
388	0.8389583333	0.3807061634
389	0.839	0.3805546633
390	0.8390833333	0.3804394956
391	0.8391666667	0.3802075104
392	0.8390416667	0.3800999586
393	0.839125	0.379969944
394	0.8389166667	0.3798317844
395	0.8389166667	0.3797605113
396	0.839125	0.3796576005
397	0.8391666667	0.3795566888
398	0.839125	0.3794379949
399	0.8394583333	0.3792943768
400	0.8394166667	0.3791163495
401	0.839375	0.3790325266
402	0.8393333333	0.3789651741
403	0.8395	0.3788298675
404	0.8397083333	0.3787697721
405	0.8397916667	0.3786415951
406	0.8398333333	0.3784929422
407	0.8398333333	0.3784201441
408	0.8397083333	0.3783221778
409	0.8399166667	0.378250662
410	0.8399166667	0.3781282035
411	0.84	0.3779864376
412	0.840125	0.3779100781
413	0.840125	0.3778312427
414	0.84	0.3776846163
415	0.84025	0.3775578145
416	0.84025	0.377463914
417	0.840375	0.37731202
418	0.8405	0.3772109197
419	0.8407916667	0.377051013
420	0.8409583333	0.3769070028
421	0.8409583333	0.3768344793
422	0.840875	0.3766932609
423	0.84075	0.376586492
424	0.8408333333	0.376506363
425	0.8410416667	0.3763875855
426	0.8410833333	0.3762828241
427	0.841125	0.3761112761
428	0.8411666667	0.3760108452
429	0.841125	0.375927739
430	0.8413333333	0.3758180098
431	0.8413333333	0.3756359659
432	0.8413333333	0.3755546592
433	0.841375	0.37544025
434	0.8415	0.3753137079
435	0.8414583333	0.3752374817
436	0.8416666667	0.375078407
437	0.841625	0.3750150233
438	0.8415833333	0.3749537337
439	0.8416666667	0.3749064286
440	0.84175	0.3747771182
441	0.84175	0.3746133287
442	0.841875	0.3744986714
443	0.8418333333	0.3743885931
444	0.8418333333	0.3743074201
445	0.8419166667	0.3741513185
446	0.8419166667	0.3740529986
447	0.8420833333	0.3739571616
448	0.8420416667	0.3738246293
449	0.842125	0.3736912076
450	0.8423333333	0.3735534481
451	0.84225	0.3734575382
452	0.8423333333	0.3733668794
453	0.8424583333	0.3733051561
454	0.8424583333	0.3731950752
455	0.8425	0.3731125798
456	0.8425833333	0.3730221065
457	0.8425416667	0.3728685427
458	0.8426666667	0.37272324
459	0.84275	0.3726403055
460	0.84275	0.3725505972
461	0.8428333333	0.3724746921
462	0.8428333333	0.3723444526
463	0.8428333333	0.3722311136
464	0.842875	0.372125721
465	0.8429166667	0.3720230428
466	0.8429166667	0.3719577346
467	0.8429166667	0.3718493095
468	0.8430416667	0.3717819864
469	0.843	0.3716240746
470	0.8430833333	0.3715041051
471	0.8431666667	0.3714282145
472	0.8431666667	0.3713174387
473	0.8433333333	0.3711950886
474	0.8433333333	0.371045278
475	0.843375	0.370915231
476	0.8435	0.3707788989
477	0.84375	0.3706469906
478	0.8437083333	0.3705820598
479	0.8437916667	0.3704749226
480	0.8440833333	0.3703598543
481	0.8442916667	0.3701956773
482	0.84425	0.3700498204
483	0.8442916667	0.3699739103
484	0.8442916667	0.369831074
485	0.844375	0.3696583799
486	0.844375	0.3695824148
487	0.8444583333	0.3694387974
488	0.8444166667	0.36937219
489	0.844375	0.3693038465
490	0.844375	0.3692241429
491	0.8444583333	0.3691479819
492	0.8445	0.3690767677
493	0.8445416667	0.3690177958
494	0.8445833333	0.3688814546
495	0.8445833333	0.3688058696
496	0.844625	0.3687143696
497	0.8446666667	0.3686054112
498	0.8447916667	0.368518367
499	0.8447916667	0.3683822902
